float,round_depth,depth.x,date.x,lon,lat,pres,temp,psal,doxy,down_irradiance380,down_irradiance412,down_irradiance490,downwelling_par,chla.x,bbp700,cdom,chla_adjusted,pres_qc,temp_qc,psal_qc,doxy_qc,down_irradiance380_qc,down_irradiance412_qc,down_irradiance490_qc,downwelling_par_qc,chla_qc,bbp700_qc,cdom_qc,chla_adjusted_qc,nitrate,nitrate_qc,cp660,cp660_qc,profil_id.x,lon_hplc,lat_hplc,cruise_name,date.y,station_name,ctd_number,bottle_number,depth.y,id_row,chl_c1_c2,chl_c3,peri,but,fuco,neox,prasi,viola,hex,diad,allo,diat,zea,lutein,dv_chlb,chlb,tchlb,dv_chla,chla.y,tchla,phaeo,t_chlb,t_chla,profil_id.y
6901656,12,60,2015-03-03,164.46398333333335,-19.21347,12.073333422342936,29.615591684977215,34.921549479166664,186.34616088867188,-2.4099329039017903e-6,-6.145419320091605e-5,-7.41175826988183e-5,-0.1054985448718071,0.1685066670179367,7.50852283090353e-4,0.9562833309173584,0.06650333851575851,1,3.3333333333333335,3.3333333333333335,3,1,1,1,1,3,2,0,1,NaN,NaN,NaN,NaN,6901656_164.463983333333_-19.21347,-170.743,-18.1784,outpace,2015-03-20,L02-05,150,18,12.249,5121,0.0067,0.0027,0.0034,0.002,0.0021,3e-4,0,6e-4,0.0222,17.3615,0,0,0.1811,0,0.0082,0.0025,NA,0.093,0.137,NA,NA,0.0107,0.2336,2015-03-20_-170.743_-18.1784_L02-05_150
6901658,19,87.5,2015-03-21,-170.70389333333333,-18.257348333333333,18.924999713897705,29.69462490081787,35.05312442779541,191.31527709960938,-5.5901096857269295e-5,-4.024634745292133e-5,-1.9689031887537567e-5,-0.007404198637232184,0.25737500190734863,9.822407446336001e-4,1.28677499294281,0.10028749890625477,1,6.25,6.25,3,2.75,2.75,2.75,2.75,3,2,0,1,NaN,NaN,NaN,NaN,6901658_-170.703893333333_-18.2573483333333,-170.743,-18.1784,outpace,2015-03-20,L02-05,150,15,19.345,5120,0.0074,0.0028,0.0032,0.0018,0.002,3e-4,0,6e-4,0.0205,15.9515,0,0,0.1645,0,0.0078,0.0024,NA,0.0859,0.126,NA,NA,0.0102,0.2142,2015-03-20_-170.743_-18.1784_L02-05_150
6901656,27,96.5,2015-03-03,164.46398333333335,-19.21347,27.109999656677246,28.651055335998535,35.01293754577637,190.76284790039062,-6.611436219827738e-6,-4.6983230276964605e-5,-5.66283670195844e-5,-0.08147129416465759,0.11400571465492249,6.701707025058568e-4,0.9980857372283936,0.039252858608961105,1,4.5,4.5,3,1,1,1,1,3,2,0,1,NaN,NaN,NaN,NaN,6901656_164.463983333333_-19.21347,-170.743,-18.1784,outpace,2015-03-20,L02-05,150,13,27.277,5119,0.0083,0.0031,0.0028,0.0026,0.002,3e-4,0,4e-4,0.0224,14.7563,0,0,0.1607,0,0.0087,0.0026,NA,0.0902,0.1174,NA,NA,0.0113,0.2094,2015-03-20_-170.743_-18.1784_L02-05_150
6901658,42,139,2015-03-21,-170.70389333333333,-18.257348333333333,42.11333338419596,26.36946678161621,35.61655044555664,195.3087921142578,-3.886245394824073e-5,-3.9418431697413325e-5,-1.0718034900492057e-5,-0.001287098159082234,0.27917200326919556,6.480183219537139e-4,1.4159040451049805,0.11118599772453308,1,3.3333333333333335,3.3333333333333335,3,1,1,1,1,3,2,0,1,NaN,NaN,NaN,NaN,6901658_-170.703893333333_-18.2573483333333,-170.743,-18.1784,outpace,2015-03-20,L02-05,150,11,42.019,5118,0.0077,0.0052,0.0022,0.0051,0.0031,5e-4,0,4e-4,0.0245,8.4105,0,0,0.0735,0,0.0088,0.005,NA,0.0668,0.0585,NA,NA,0.0138,0.1253,2015-03-20_-170.743_-18.1784_L02-05_150
6901658,56,167,2015-03-21,-170.70389333333333,-18.257348333333333,55.980000813802086,25.948066075642902,35.64953358968099,193.6632080078125,-3.17981539410539e-5,-2.7026992029277608e-5,-3.3233231988560874e-6,0.0047835311852395535,0.4228760004043579,7.604862912558019e-4,1.3545000553131104,0.18303799629211426,1,3.3333333333333335,3.3333333333333335,3,1,1,1,1,3,2,0,1,NaN,NaN,NaN,NaN,6901658_-170.703893333333_-18.2573483333333,-170.743,-18.1784,outpace,2015-03-20,L02-05,150,9,56.388,5117,0.0104,0.0077,0.0027,0.0074,0.0031,5e-4,0,5e-4,0.0316,8.873,0,0,0.0817,0,0.0143,0.0065,NA,0.0936,0.0701,NA,NA,0.0208,0.1637,2015-03-20_-170.743_-18.1784_L02-05_150
6901658,69,192,2015-03-21,-170.70389333333333,-18.257348333333333,69.04666646321614,25.12169138590495,35.721117655436196,192.0389862060547,-3.0223587600630708e-5,-3.73483999283053e-5,-5.232132480159635e-6,0.007202502340078354,0.6214436292648315,7.295481627807021e-4,1.6270418167114258,0.2823218107223511,1,3.3333333333333335,3.3333333333333335,3,1,1,1,1,3,2,0,1,NaN,NaN,NaN,NaN,6901658_-170.703893333333_-18.2573483333333,-170.743,-18.1784,outpace,2015-03-20,L02-05,150,7,69.026,5116,0.0142,0.0111,0.0044,0.0137,0.0039,0.0012,0,8e-4,0.0403,11.9798,0,0,0.0821,0,0.0243,0.011,NA,0.1266,0.1007,NA,NA,0.0353,0.2273,2015-03-20_-170.743_-18.1784_L02-05_150
6901660,7,30.5,2015-03-29,-165.77339,-18.471053333333334,7,29.025665760040283,35.21500015258789,NaN,-7.057643476097535e-5,-3.470453763535867e-5,-1.1031564402704437e-4,0.005491475206023703,0.052799999713897705,3.970232598173122e-4,1.4479999542236328,0.014399999752640724,1,6.25,6.25,NaN,1,1,1,1,3.3333333333333335,2,0,5,NaN,NaN,NaN,NaN,6901660_-165.77339_-18.4710533333333,-165.7861,-18.4885,outpace,2015-03-28,LD3-05,198,23,7.297,5140,0.0021,0.001,0.0014,0.0017,9e-4,0,0,5e-4,0.0076,5.9275,0,0,0.0261,0,0,0.0018,NA,0.0103,0.0194,NA,NA,0.0018,0.0297,2015-03-28_-165.7861_-18.4885_LD3-05_198
6901660,43,112.5,2015-03-29,-165.77339,-18.471053333333334,42.96999931335449,27.233882904052734,35.54611015319824,NaN,-3.923901567759458e-5,-1.54675244630198e-5,-6.080227285565343e-5,0.027763405814766884,0.08043428510427475,5.766686517745256e-4,1.5692053437232971,0.022217142395675182,1,8,8,NaN,1,1,1,1,3,2,0,1,NaN,NaN,NaN,NaN,6901660_-165.77339_-18.4710533333333,-165.7861,-18.4885,outpace,2015-03-28,LD3-05,198,15,42.827,5139,0.003,0.0014,0.0016,0.0027,0.0016,0,0,5e-4,0.0093,5.7257,0,0,0.0435,0,0.0016,0.0022,NA,0.0195,0.0282,NA,NA,0.0038,0.0477,2015-03-28_-165.7861_-18.4885_LD3-05_198
6901660,61,148.5,2015-03-29,-165.77339,-18.471053333333334,61.260000228881836,26.009377479553223,35.67391014099121,NaN,-2.772775224002544e-5,-1.3631260117108468e-5,-4.084651300217956e-5,0.034543149173259735,0.09371999651193619,5.884077399969101e-4,1.5369915962219238,0.028859999030828476,1,4.5,4.5,NaN,1,1,1,1,3,2,0,1,NaN,NaN,NaN,NaN,6901660_-165.77339_-18.4710533333333,-165.7861,-18.4885,outpace,2015-03-28,LD3-05,198,13,60.836,5138,0.0039,0.0022,0.0018,0.0036,0.0023,7e-4,0,6e-4,0.0121,6.3649,0,0,0.0431,0,0.0022,0.0023,NA,0.0217,0.0342,NA,NA,0.0045,0.0559,2015-03-28_-165.7861_-18.4885_LD3-05_198
6901660,91,211.5,2015-03-29,-165.77339,-18.471053333333334,91.40999984741211,23.75786304473877,35.71097946166992,NaN,-1.9392517060623504e-5,-1.6156693618540885e-6,-2.2915652152732946e-5,0.0263509601354599,0.177264004945755,5.343377124518156e-4,1.4697200059890747,0.07063199579715729,1,4.5,4.5,NaN,1,1,1,1,3,2,0,1,NaN,NaN,NaN,NaN,6901660_-165.77339_-18.4710533333333,-165.7861,-18.4885,outpace,2015-03-28,LD3-05,198,11,91.923,5137,0.0094,0.0061,0.003,0.0105,0.0033,5e-4,0,6e-4,0.0249,6.6277,0,0,0.0401,0,0.0069,0.0063,NA,0.045,0.0563,NA,NA,0.0132,0.1012,2015-03-28_-165.7861_-18.4885_LD3-05_198
6901660,120,264.5,2015-03-29,-165.77339,-18.471053333333334,120.01000213623047,22.968090057373047,35.864158630371094,NaN,-1.618340684217401e-5,-2.476751205904293e-6,-7.715083484072238e-6,0.03841855004429817,0.7062646150588989,6.191356806084514e-4,1.7668384313583374,0.33513230085372925,1,4.5,4.5,NaN,1,1,1,1,3,2,0,1,NaN,NaN,NaN,NaN,6901660_-165.77339_-18.4710533333333,-165.7861,-18.4885,outpace,2015-03-28,LD3-05,198,8,120.113,5136,0.0201,0.0154,0.0033,0.0236,0.0029,0.002,0,8e-4,0.0449,6.812,0,0,0.0467,0,0.021,0.0895,NA,0.1147,0.0848,NA,NA,0.1105,0.1995,2015-03-28_-165.7861_-18.4885_LD3-05_198
6901660,136,294.5,2015-03-29,-165.77339,-18.471053333333334,135.98500061035156,22.62375020980835,35.915000915527344,NaN,-1.3603802472061943e-5,1.7647612935434154e-6,-1.5698494166827004e-6,0.0323229618370533,0.5460685789585114,5.158019775990397e-4,1.8578357100486755,0.25503428280353546,1,4.5,4.5,NaN,1,1,1,1,4,2,0,4,NaN,NaN,NaN,NaN,6901660_-165.77339_-18.4710533333333,-165.7861,-18.4885,outpace,2015-03-28,LD3-05,198,7,135.773,5135,0.0239,0.0242,0.0029,0.0359,0.0039,0.0029,0,0.0016,0.0514,6.6808,0,0,0.0367,0,0.0581,0.0888,NA,0.1131,0.104,NA,NA,0.1469,0.2171,2015-03-28_-165.7861_-18.4885_LD3-05_198
6901660,150,327,2015-03-29,-165.77339,-18.471053333333334,149.90666707356772,22.202566782633465,35.92518615722656,NaN,-8.6715854195063e-6,6.843014034529915e-6,5.208857146499213e-6,0.040757916867733,0.3691200017929077,4.924943787045777e-4,1.7416222095489502,0.16656000912189484,1,3.3333333333333335,3.3333333333333335,NaN,1,1,1,1,3,2,0,1,NaN,NaN,NaN,NaN,6901660_-165.77339_-18.4710533333333,-165.7861,-18.4885,outpace,2015-03-28,LD3-05,198,6,149.829,5134,0.021,0.0235,0.0018,0.0347,0.0037,0.0018,6e-4,8e-4,0.0483,6.0565,0,0,0.0263,0,0.092,0.0409,NA,0.0923,0.0921,NA,NA,0.1329,0.1844,2015-03-28_-165.7861_-18.4885_LD3-05_198
6901660,177,383,2015-03-29,-165.77339,-18.471053333333334,177.32000732421875,21.292749404907227,35.86731719970703,NaN,3.006933866345207e-6,9.121989933191799e-6,2.7034604499931447e-5,0.0365603007376194,0.21351273357868195,5.013075424358249e-4,1.8856909275054932,0.08875636756420135,1,8,8,NaN,1,1,1,1,3,2,0,1,NaN,NaN,NaN,NaN,6901660_-165.77339_-18.4710533333333,-165.7861,-18.4885,outpace,2015-03-28,LD3-05,198,5,177.503,5133,0.0107,0.0156,9e-4,0.0229,0.002,6e-4,5e-4,0,0.031,4.5449,0,0,0.0072,0,0.0874,0.0077,NA,0.0405,0.0595,NA,NA,0.0951,0.1001,2015-03-28_-165.7861_-18.4885_LD3-05_198
6901660,201,428.5,2015-03-29,-165.77339,-18.471053333333334,200.76000213623047,20.50119972229004,35.773664474487305,NaN,4.234703737893142e-6,2.467318881826941e-5,3.46722335962113e-5,0.04011348634958267,0.1343127340078354,5.975199746899307e-4,1.7787363529205322,0.04915636405348778,1,4.5,4.5,NaN,1,1,1,1,3,2,0,1,NaN,NaN,NaN,NaN,6901660_-165.77339_-18.4710533333333,-165.7861,-18.4885,outpace,2015-03-28,LD3-05,198,3,201.267,5132,0.006,0.0098,5e-4,0.0116,7e-4,0,0,0,0.023,2.7473,0,0,0.0026,0,0.0525,0,NA,0.0217,0.0352,NA,NA,0.0525,0.0569,2015-03-28_-165.7861_-18.4885_LD3-05_198
6901660,255,520.5,2015-03-29,-165.77339,-18.471053333333334,255.0500030517578,18.9523286819458,35.57576370239258,NaN,NaN,NaN,NaN,NaN,0.02879999950528145,3.4146130201406777e-4,1.9005000591278076,-0.003599999938160181,1,4.5,4.5,NaN,NaN,NaN,NaN,NaN,3,2,0,1,NaN,NaN,NaN,NaN,6901660_-165.77339_-18.4710533333333,-165.7861,-18.4885,outpace,2015-03-28,LD3-05,198,2,249.725,5131,0.0014,0.0028,6e-4,0.0017,3e-4,0,0,0,0.0092,0.8147,0,0,0,0,9e-4,0.0012,NA,5e-4,0.0104,NA,NA,0.0021,0.0109,2015-03-28_-165.7861_-18.4885_LD3-05_198
4901802,0,3,2016-07-09,-61.023907333333334,69.47774633333333,0.34239999651908876,0.7400333046913147,31.791424560546876,NaN,0.0963895134627819,0.15353231132030487,0.17064324766397476,183.3305206298828,0.2231999933719635,0.001363451243378222,2.0653998851776123,0.4071599841117859,1,3,3,NaN,1,1,1,1,3,5,4,6.5,NaN,NaN,NaN,NaN,4901802_-61.0239073333333_69.4777463333333,-61.0006,69.4973,greenedge,2016-07-09,G711_flotteur2,1601189,24,0,5262,0.0363,0.0129,0.0158,0.0096,0.0583,0.0092,0.023,0.0192,0.0535,0.083,0.016,0.0078,0.0117,0.009,NA,0.0697,NA,0,0.4222,NA,NA,0.0697,0.435,2016-07-09_-61.0006_69.4973_G711_flotteur2_1601189
